"state_abbrev,""state"",""municipality"",""geocode"",""urb2000"",""rur2000"",""tot2000"",""prop_urb2000"",""prop_rur2000"",""urb2010"",""rur2010"",""tot2010"",""prop_urb2010"",""prop_rur2010"",""pop_estimated2006"",""pop_estimated2017"",""urb2006e"",""rur2006e"",""urb2017e"",""rur2017e"""
"RO,""Rondônia"",""Novo Horizonte do Oeste"",1100502,1344,10932,12276,0.109481915933529,0.890518084066471,1733,8507,10240,0.16923828125,0.83076171875,12916,10051,2185.881640625,10730.118359375,1701.01396484375,8349.98603515625"
"RO,""Rondônia"",""Ouro Preto do Oeste"",1100155,26541,14343,40884,0.649178162606399,0.350821837393601,28180,9748,37928,0.742986711664206,0.257013288335794,40735,39759,30265.5636996414,10469.4363003586,29540.4086690572,10218.5913309428"
"RO,""Rondônia"",""Parecis"",1101450,1134,2488,3622,0.313086692435119,0.686913307564881,1774,3036,4810,0.368814968814969,0.631185031185031,3204,5904,1181.68316008316,2022.31683991684,2177.48357588358,3726.51642411642"
"RO,""Rondônia"",""Pimenta Bueno"",1100189,26423,5329,31752,0.832168052406148,0.167831947593852,29417,4405,33822,0.869759328247886,0.130240671752114,31415,38051,27323.4892969073,4091.51070309266,33095.2121991603,4955.78780083969"
"RO,""Rondônia"",""Pimenteiras do Oeste"",1101468,1398,1129,2527,0.553225168183617,0.446774831816383,1292,1023,2315,0.558099352051836,0.441900647948164,2633,2410,1469.47559395248,1163.52440604752,1345.01943844492,1064.98056155508"
"RO,""Rondônia"",""Porto Velho"",1100205,273709,60952,334661,0.817869426075939,0.18213057392406,390733,37794,428527,0.91180485710352,0.0881951428964803,380974,519436,347373.943630156,33600.0563698437,473624.267754424,45811.7322455761"
"RO,""Rondônia"",""Presidente Médici"",1100254,12174,14191,26365,0.461748530248435,0.538251469751565,13303,9016,22319,0.596039249070299,0.403960750929701,25313,22124,15087.5415117165,10225.4584882835,13186.7723464313,8937.22765356871"
"RO,""Rondônia"",""Primavera de Rondônia"",1101476,1159,3152,4311,0.268847135235444,0.731152864764556,1284,2240,3524,0.364358683314415,0.635641316685585,4393,3411,1600.62769580023,2792.37230419977,1242.82746878547,2168.17253121453"
"RO,""Rondônia"",""Rio Crespo"",1100262,867,2070,2937,0.295199182839632,0.704800817160368,1064,2252,3316,0.32086851628468,0.67913148371532,3603,3829,1156.0892641737,2446.9107358263,1228.60554885404,2600.39445114596"
"RO,""Rondônia"",""Rolim de Moura"",1100288,34421,12961,47382,0.72645730446161,0.27354269553839,41429,9219,50648,0.817978992260306,0.182021007739694,49907,57074,40822.8775667351,9084.12243326489,46685.3330042647,10388.6669957353"
"RO,""Rondônia"",""Santa Luzia D'Oeste"",1100296,4887,6716,11603,0.421184176506076,0.578815823493924,4525,4361,8886,0.509227999099707,0.490772000900293,11067,8198,5635.62626603646,5431.37373396354,4174.6511366194,4023.3488633806"
"RO,""Rondônia"",""São Felipe D'Oeste"",1101484,1031,6025,7056,0.146116780045351,0.853883219954649,1444,4574,6018,0.239946826188102,0.760053173811898,7266,5994,1743.45363908275,5522.54636091725,1438.24127617149,4555.75872382851"
"RO,""Rondônia"",""São Francisco do Guaporé"",1101492,5226,5859,11085,0.471447902571042,0.528552097428958,8227,7808,16035,0.513065169940755,0.486934830059245,17610,19694,9035.07764265669,8574.92235734331,10104.3054568132,9589.69454318678"
"RO,""Rondônia"",""São Miguel do Guaporé"",1100320,6476,17398,23874,0.271257434866382,0.728742565133618,8470,13358,21828,0.388033718160161,0.611966281839839,31198,24181,12105.8759391607,19092.1240608393,9383.04333883086,14797.9566611691"
"RO,""Rondônia"",""Seringueiras"",1101500,3792,7863,11655,0.325353925353925,0.674646074646075,4397,7232,11629,0.378106457992949,0.621893542007051,16225,12653,6134.77728093559,10090.2227190644,4784.18101298478,7868.81898701522"
"RO,""Rondônia"",""Teixeirópolis"",1101559,1154,4464,5618,0.205411178355287,0.794588821644713,1716,3172,4888,0.351063829787234,0.648936170212766,5894,4931,2069.17021276596,3824.82978723404,1731.09574468085,3199.90425531915"
"RO,""Rondônia"",""Theobroma"",1101609,1515,9625,11140,0.135996409335727,0.864003590664273,1978,8671,10649,0.185745140388769,0.814254859611231,14326,11350,2660.9848812095,11665.0151187905,2108.20734341253,9241.79265658747"
"RO,""Rondônia"",""Urupá"",1101708,4002,10878,14880,0.268951612903226,0.731048387096774,5137,7837,12974,0.395945737629104,0.604054262370896,17761,13106,7032.39224603052,10728.6077539695,5189.26483736704,7916.73516263296"
"RO,""Rondônia"",""Vale do Anari"",1101757,1836,5901,7737,0.237301279565723,0.762698720434277,3192,6192,9384,0.340153452685422,0.659846547314578,10962,11149,3728.7621483376,7233.2378516624,3792.37084398977,7356.62915601023"
"RO,""Rondônia"",""Vale do Paraíso"",1101807,1840,8023,9863,0.186555814660854,0.813444185339146,2276,5934,8210,0.277222898903776,0.722777101096224,10442,8047,2894.76151035323,7547.23848964677,2230.81266747868,5816.18733252132"
"RO,""Rondônia"",""Vilhena"",1100304,50601,2997,53598,0.944083734467704,0.055916265532296,72218,3984,76202,0.947717907666465,0.0522820923335345,65807,95630,62366.4723498071,3440.5276501929,90630.2635101441,4999.7364898559"
"AC,""Acre"",""Acrelândia"",1200013,3506,4429,7935,0.441839949590422,0.558160050409578,5916,6622,12538,0.471845589408199,0.528154410591801,11786,14366,5561.17211676503,6224.82788323497,6778.53373743819,7587.46626256181"
"AC,""Acre"",""Assis Brasil"",1200054,2151,1339,3490,0.616332378223496,0.383667621776504,3700,2372,6072,0.60935441370224,0.39064558629776,5153,6986,3140.00329380764,2012.99670619236,4256.94993412385,2729.05006587615"
"AC,""Acre"",""Brasiléia"",1200104,9026,7987,17013,0.530535472873685,0.469464527126315,14257,7141,21398,0.666277222170296,0.333722777829704,18056,24765,12030.3015235069,6025.69847649313,16500.3554070474,8264.64459295261"
"AC,""Acre"",""Bujari"",1200138,1628,4198,5826,0.279437006522485,0.720562993477515,3693,4778,8471,0.43595797426514,0.56404202573486,8751,9664,3815.06823279424,4935.93176720576,4213.09786329831,5450.90213670169"
"AC,""Acre"",""Capixaba"",1200179,1521,3685,5206,0.29216288897426,0.70783711102574,3929,4869,8798,0.446578767901796,0.553421232098204,7403,11136,3306.02261877699,4096.97738122301,4973.1011593544,6162.8988406456"
"AC,""Acre"",""Cruzeiro do Sul"",1200203,38971,28470,67441,0.577853234679201,0.422146765320799,55326,23181,78507,0.704726967022049,0.295273032977951,86725,82622,61117.4462149872,25607.5537850128,58225.9514692957,24396.0485307043"
"AC,""Acre"",""Epitaciolândia"",1200252,7404,3624,11028,0.671381936887922,0.328618063112078,10618,4482,15100,0.70317880794702,0.29682119205298,14193,17340,9980.21682119205,4212.78317880795,12193.1205298013,5146.87947019868"
"AC,""Acre"",""Feijó"",1200302,11240,15482,26722,0.420627198562982,0.579372801437018,16636,15776,32412,0.513266691348883,0.486733308651117,39365,32360,20204.7433049488,19160.2566950512,16609.3101320499,15750.6898679501"
"AC,""Acre"",""Jordão"",1200328,863,3591,4454,0.193758419398294,0.806241580601706,2272,4305,6577,0.345446252090619,0.654553747909381,4662,7858,1610.47042724646,3051.52957275353,2714.51664892808,5143.48335107192"
"AC,""Acre"",""Mâncio Lima"",1200336,5794,5301,11095,0.522217214961694,0.477782785038306,8750,6456,15206,0.575430751019334,0.424569248980666,13116,17910,7547.34973036959,5568.65026963041,10305.9647507563,7604.03524924372"
"AC,""Acre"",""Manoel Urbano"",1200344,3281,3093,6374,0.514747411358645,0.485252588641356,5278,2703,7981,0.661320636511715,0.338679363488285,7843,8886,5186.73775216138,2656.26224783862,5876.4951760431,3009.5048239569"
"AC,""Acre"",""Marechal Thaumaturgo"",1200351,985,7310,8295,0.118746232670283,0.881253767329717,3969,10258,14227,0.27897659380052,0.72102340619948,8482,17897,2366.27946861601,6115.72053138399,4992.84409924791,12904.1559007521"
"AC,""Acre"",""Plácido de Castro"",1200385,6979,8193,15172,0.459992090693383,0.540007909306617,10382,6827,17209,0.603288976698239,0.396711023301761,17014,18510,10264.3586495438,6749.64135045616,11166.8789586844,7343.12104131559"
"AC,""Acre"",""Porto Acre"",1200807,1293,10125,11418,0.113242249080399,0.886757750919601,1982,12898,14880,0.133198924731183,0.866801075268817,12335,17459,1643.00873655914,10691.9912634409,2325.52002688172,15133.4799731183"
"AC,""Acre"",""Porto Walter"",1200393,1441,4044,5485,0.262716499544212,0.737283500455788,3323,5853,9176,0.362140366172624,0.637859633827376,4851,11353,1756.7429163034,3094.2570836966,4111.3795771578,7241.6204228422"
"AC,""Acre"",""Rio Branco"",1200401,226298,26761,253059,0.894249957519788,0.105750042480212,308545,27493,336038,0.918184848142174,0.0818151518578256,314127,383443,288426.651792357,25700.3482076432,352071.55272618,31371.4472738202"
"AC,""Acre"",""Rodrigues Alves"",1200427,2632,5461,8093,0.325219325342889,0.674780674657111,4315,10074,14389,0.299881854194176,0.700118145805824,9989,17945,2995.51984154563,6993.48015845437,5381.37987351449,12563.6201264855"
"AC,""Acre"",""Santa Rosa do Purus"",1200435,518,1728,2246,0.230632235084595,0.769367764915405,1892,2799,4691,0.403325516947346,0.596674483052654,3583,6230,1445.11532722234,2137.88467277766,2512.71797058197,3717.28202941803"
"AC,""Acre"",""Sena Madureira"",1200500,16155,13265,29420,0.549116247450714,0.450883752549286,25112,12917,38029,0.660338162980883,0.339661837019117,33614,43139,22196.6070104394,11417.3929895606,28486.3280128323,14652.6719871677"
"AC,""Acre"",""Senador Guiomard"",1200450,8640,11121,19761,0.437224836799757,0.562775163200243,12703,7476,20179,0.629515833292036,0.370484166707964,21000,21552,13219.8324991328,7780.16750086724,13567.32523911,7984.67476089003"
"AC,""Acre"",""Tarauacá"",1200609,13946,12091,26037,0.535622383531129,0.464377616468871,19351,16239,35590,0.543720146108457,0.456279853891543,30711,40024,16698.1894071368,14012.8105928632,21761.8551278449,18262.1448721551"
"AC,""Acre"",""Xapuri"",1200708,5995,5961,11956,0.501421880227501,0.498578119772499,10330,5761,16091,0.641973774159468,0.358026225840532,13893,18174,8918.94164439749,4974.05835560251,11667.2313715742,6506.76862842583"
"AM,""Amazonas"",""Alvarães"",1300029,5314,6836,12150,0.437366255144033,0.562633744855967,7887,6201,14088,0.559838160136286,0.440161839863714,14776,15908,8272.16865417377,6503.83134582623,8905.90545144804,7002.09454855196"
"AM,""Amazonas"",""Amaturá"",1300060,3930,3378,7308,0.537766830870279,0.462233169129721,4960,4507,9467,0.523925213900919,0.476074786099081,9150,11242,4793.91570719341,4356.08429280659,5889.96725467413,5352.03274532587"
"AM,""Amazonas"",""Anamã"",1300086,2064,4499,6563,0.314490324546701,0.685509675453299,4174,6040,10214,0.408654787546505,0.591345212453495,6949,12978,2839.74211866066,4109.25788133934,5303.52183277854,7674.47816722146"
"AM,""Amazonas"",""Anori"",1300102,7229,4091,11320,0.638604240282685,0.361395759717314,10000,6317,16317,0.612857755714899,0.387142244285101,12990,20196,7961.02224673653,5028.97775326347,12377.2752344181,7818.72476558191"
"AM,""Amazonas"",""Apuí"",1300144,6126,7738,13864,0.441863819965378,0.558136180034622,10595,7412,18007,0.588382295773866,0.411617704226134,19694,21406,11587.6009329705,8106.39906702949,12594.9114233354,8811.08857666463"
"AM,""Amazonas"",""Atalaia do Norte"",1300201,4175,5874,10049,0.415464225296049,0.584535774703951,6893,8260,15153,0.454893420444796,0.545106579555204,11523,19054,5241.73688378539,6281.26311621461,8667.53923315515,10386.4607668448"
