"state_abbrev,""state"",""municipality"",""geocode"",""period"",""zone"",""disease"",""cases"",""inc"""
"AM,""Amazonas"",""Beruri"",1300631,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Boa Vista do Ramos"",1300680,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Boca do Acre"",1300706,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Borba"",1300805,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Caapiranga"",1300839,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Canutama"",1300904,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Carauari"",1301001,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Careiro"",1301100,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Careiro da Várzea"",1301159,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Coari"",1301209,""2004-2008"",""rural"",""chagas"",6,3.96057937564669"
"AM,""Amazonas"",""Codajás"",1301308,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Eirunepé"",1301407,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Envira"",1301506,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Fonte Boa"",1301605,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Guajará"",1301654,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Humaitá"",1301704,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Ipixuna"",1301803,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Iranduba"",1301852,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Itacoatiara"",1301902,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Itamarati"",1301951,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Itapiranga"",1302009,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Japurá"",1302108,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Juruá"",1302207,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Jutaí"",1302306,""2004-2008"",""rural"",""chagas"",1,1.73012310491323"
"AM,""Amazonas"",""Lábrea"",1302405,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Manacapuru"",1302504,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Manaquiri"",1302553,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Manaus"",1302603,""2004-2008"",""rural"",""chagas"",1,2.3370470771129"
"AM,""Amazonas"",""Manicoré"",1302702,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Maraã"",1302801,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Maués"",1302900,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Nhamundá"",1303007,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Nova Olinda do Norte"",1303106,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Novo Airão"",1303205,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Novo Aripuanã"",1303304,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Parintins"",1303403,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Pauini"",1303502,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Presidente Figueiredo"",1303536,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Rio Preto da Eva"",1303569,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Santa Isabel do Rio Negro"",1303601,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Santo Antônio do Içá"",1303700,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""São Gabriel da Cachoeira"",1303809,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""São Paulo de Olivença"",1303908,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""São Sebastião do Uatumã"",1303957,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Silves"",1304005,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Tabatinga"",1304062,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Tapauá"",1304104,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Tefé"",1304203,""2004-2008"",""rural"",""chagas"",2,3.00003636969873"
"AM,""Amazonas"",""Tonantins"",1304237,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Uarini"",1304260,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Urucará"",1304302,""2004-2008"",""rural"",""chagas"",0,0"
"AM,""Amazonas"",""Urucurituba"",1304401,""2004-2008"",""rural"",""chagas"",0,0"
"RR,""Roraima"",""Alto Alegre"",1400050,""2004-2008"",""rural"",""chagas"",0,0"
"RR,""Roraima"",""Amajari"",1400027,""2004-2008"",""rural"",""chagas"",0,0"
"RR,""Roraima"",""Boa Vista"",1400100,""2004-2008"",""rural"",""chagas"",0,0"
"RR,""Roraima"",""Bonfim"",1400159,""2004-2008"",""rural"",""chagas"",0,0"
"RR,""Roraima"",""Cantá"",1400175,""2004-2008"",""rural"",""chagas"",0,0"
"RR,""Roraima"",""Caracaraí"",1400209,""2004-2008"",""rural"",""chagas"",0,0"
"RR,""Roraima"",""Caroebe"",1400233,""2004-2008"",""rural"",""chagas"",0,0"
"RR,""Roraima"",""Iracema"",1400282,""2004-2008"",""rural"",""chagas"",0,0"
"RR,""Roraima"",""Mucajaí"",1400308,""2004-2008"",""rural"",""chagas"",0,0"
"RR,""Roraima"",""Normandia"",1400407,""2004-2008"",""rural"",""chagas"",0,0"
"RR,""Roraima"",""Pacaraima"",1400456,""2004-2008"",""rural"",""chagas"",0,0"
"RR,""Roraima"",""Rorainópolis"",1400472,""2004-2008"",""rural"",""chagas"",0,0"
"RR,""Roraima"",""São João da Baliza"",1400506,""2004-2008"",""rural"",""chagas"",0,0"
"RR,""Roraima"",""São Luiz"",1400605,""2004-2008"",""rural"",""chagas"",0,0"
"RR,""Roraima"",""Uiramutã"",1400704,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Abaetetuba"",1500107,""2004-2008"",""rural"",""chagas"",21,7.6507312650586"
"PA,""Pará"",""Abel Figueiredo"",1500131,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Acará"",1500206,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Afuá"",1500305,""2004-2008"",""rural"",""chagas"",11,8.25666041671889"
"PA,""Pará"",""Água Azul do Norte"",1500347,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Alenquer"",1500404,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Almeirim"",1500503,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Altamira"",1500602,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Anajás"",1500701,""2004-2008"",""rural"",""chagas"",8,12.1796264307646"
"PA,""Pará"",""Ananindeua"",1500800,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Anapu"",1500859,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Augusto Corrêa"",1500909,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Aurora do Pará"",1500958,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Aveiro"",1501006,""2004-2008"",""rural"",""chagas"",0,0"
