"state_abbrev,""state"",""municipality"",""geocode"",""year"",""sit"",""carpond"",""h"",""a"",""ipm"",""csaude"",""ceduca"",""ccv"",""cnv"",""totpescar"",""totpesres"""
"AC,""Acre"",""Santa Rosa do Purus"",1200435,2000,""rural"",0.439772727,1,0.472170581,0.472170581,0.123301155,0.284076191,0.261885437,0.330737217,292,292"
"AC,""Acre"",""Senador Guiomard"",1200450,2000,""rural"",0.367626798,0.810469314,0.454907731,0.368688757,0.170131664,0.299566365,0.238630204,0.291671767,1796,2216"
"AC,""Acre"",""Sena Madureira"",1200500,2000,""rural"",0.492088821,0.98466899,0.527287433,0.519203584,0.139922154,0.283870844,0.222274418,0.353932584,1413,1435"
"AC,""Acre"",""Tarauacá"",1200609,2000,""rural"",0.476286139,0.961092715,0.525548583,0.505100915,0.099154011,0.304563972,0.235066415,0.361215602,1161,1208"
"AC,""Acre"",""Xapuri"",1200708,2000,""rural"",0.420813623,0.913646877,0.470940325,0.430273158,0.12812144,0.296112839,0.243635526,0.332130195,1185,1297"
"AC,""Acre"",""Porto Acre"",1200807,2000,""rural"",0.360580913,0.779082177,0.454023157,0.35372135,0.180652785,0.315545227,0.222300445,0.281501543,1460,1874"
"AM,""Amazonas"",""Alvarães"",1300029,2000,""rural"",0.46286588,0.989595376,0.490484535,0.485381228,0.090507488,0.346746891,0.228820624,0.333924997,856,865"
"AM,""Amazonas"",""Amaturá"",1300060,2000,""rural"",0.509303721,0.965166909,0.557178661,0.537770406,0.096485028,0.292603778,0.228344686,0.382566508,665,689"
"AM,""Amazonas"",""Anamã"",1300086,2000,""rural"",0.490805138,0.984699454,0.526959463,0.518896695,0.156911319,0.265029186,0.227167874,0.350891621,901,915"
"AM,""Amazonas"",""Anori"",1300102,2000,""rural"",0.485661765,0.977317554,0.524993994,0.513085846,0.148480868,0.278381607,0.23984843,0.333289095,991,1014"
"AM,""Amazonas"",""Apuí"",1300144,2000,""rural"",0.493792766,0.978400467,0.525659166,0.514305173,0.092508013,0.265984185,0.250363492,0.39114431,1676,1713"
"AM,""Amazonas"",""Atalaia do Norte"",1300201,2000,""rural"",0.423176904,0.908525755,0.486698785,0.442178381,0.048203142,0.31231619,0.251344954,0.388135715,1023,1126"
"AM,""Amazonas"",""Autazes"",1300300,2000,""rural"",0.435186117,0.93687231,0.487670459,0.456884949,0.12129108,0.285106001,0.275498417,0.318104502,1306,1394"
